address,zipcode,beds,dog,cat,dishwasher,ac,laundry,parking,gym,price
Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1995
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2800
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2250
Berkeley| CA 94704,94704,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3595
Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1550
Berkeley| CA 94709,94709,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3600
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2100
Berkeley| CA 94702,94702,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3150
Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3500
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2895
